Date,BTC-USD,ETH-USD
2023-05-27,26868.353515625,1831.1182861328125
2023-05-28,28085.646484375,1910.9141845703125
2023-05-29,27745.884765625,1893.078125
2023-05-30,27702.349609375,1901.026611328125
2023-05-31,27219.658203125,1874.1304931640625
2023-06-01,26819.97265625,1862.201416015625
2023-06-02,27249.58984375,1907.256591796875
2023-06-03,27075.12890625,1892.4124755859375
2023-06-04,27119.06640625,1890.5135498046875
2023-06-05,25760.09765625,1811.828369140625
2023-06-06,27238.783203125,1884.494873046875
2023-06-07,26345.998046875,1832.39599609375
2023-06-08,26508.216796875,1846.3018798828125
2023-06-09,26480.375,1840.2252197265625
2023-06-10,25851.240234375,1752.384765625
2023-06-11,25940.16796875,1753.415283203125
2023-06-12,25902.5,1742.5286865234375
2023-06-13,25918.728515625,1739.03759765625
2023-06-14,25124.67578125,1650.519287109375
2023-06-15,25576.39453125,1665.519775390625
2023-06-16,26327.462890625,1716.6688232421875
2023-06-17,26510.67578125,1727.2041015625
2023-06-18,26336.212890625,1720.5775146484375
2023-06-19,26851.029296875,1737.659423828125
2023-06-20,28327.48828125,1792.1199951171875
2023-06-21,30027.296875,1891.0072021484375
2023-06-22,29912.28125,1872.9429931640625
2023-06-23,30695.46875,1892.862060546875
2023-06-24,30548.6953125,1876.0596923828125
2023-06-25,30480.26171875,1900.506103515625
2023-06-26,30271.130859375,1859.432861328125
2023-06-27,30688.1640625,1889.703369140625
2023-06-28,30086.24609375,1827.97119140625
2023-06-29,30445.3515625,1852.227294921875
2023-06-30,30477.251953125,1933.18896484375
2023-07-01,30590.078125,1924.56591796875
2023-07-02,30620.76953125,1937.4383544921875
2023-07-03,31156.439453125,1955.38916015625
2023-07-04,30777.58203125,1936.633544921875
2023-07-05,30514.166015625,1910.5880126953125
2023-07-06,29909.337890625,1848.636474609375
2023-07-07,30342.265625,1870.6025390625
2023-07-08,30292.541015625,1865.53955078125
2023-07-09,30171.234375,1863.009765625
2023-07-10,30414.470703125,1880.556396484375
2023-07-11,30620.951171875,1878.3360595703125
2023-07-12,30391.646484375,1872.11376953125
2023-07-13,31476.048828125,2006.511474609375
2023-07-14,30334.068359375,1939.3470458984375
2023-07-15,30295.806640625,1931.466552734375
2023-07-16,30249.1328125,1923.681884765625
2023-07-17,30145.888671875,1911.6461181640625
2023-07-18,29856.5625,1897.5992431640625
2023-07-19,29913.923828125,1889.0079345703125
2023-07-20,29792.015625,1890.9691162109375
2023-07-21,29908.744140625,1892.080078125
2023-07-22,29771.802734375,1864.912353515625
2023-07-23,30084.5390625,1889.191650390625
2023-07-24,29176.916015625,1850.0020751953125
2023-07-25,29227.390625,1857.741943359375
2023-07-26,29354.97265625,1872.159912109375
2023-07-27,29210.689453125,1860.357177734375
2023-07-28,29319.24609375,1874.744873046875
2023-07-29,29356.91796875,1881.06884765625
2023-07-30,29275.30859375,1861.643798828125
2023-07-31,29230.111328125,1856.162353515625
2023-08-01,29675.732421875,1871.7921142578125
2023-08-02,29151.958984375,1839.0897216796875
2023-08-03,29178.6796875,1835.136474609375
2023-08-04,29074.091796875,1827.712890625
2023-08-05,29042.126953125,1834.9879150390625
2023-08-06,29041.85546875,1827.4620361328125
2023-08-07,29180.578125,1826.9388427734375
2023-08-08,29765.4921875,1855.807373046875
2023-08-09,29561.494140625,1854.297607421875
2023-08-10,29429.591796875,1850.75341796875
2023-08-11,29397.71484375,1847.1243896484375
2023-08-12,29415.96484375,1848.889892578125
2023-08-13,29282.9140625,1839.2801513671875
2023-08-14,29408.443359375,1844.185791015625
